set	subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	ism	9	656	0.0102	61967	0.967
all	ism	10	515	0.00804	62482	0.975
all	ism	11	335	0.00523	62817	0.98
all	ism	12	297	0.00463	63114	0.985
all	ism	13	201	0.00314	63315	0.988
all	ism	14	143	0.00223	63458	0.99
all	ism	15	115	0.00179	63573	0.992
all	ism	16	79	0.00123	63652	0.993
all	ism	17	73	0.00114	63725	0.994
all	ism	18	60	0.000936	63785	0.995
all	ism	19	35	0.000546	63820	0.996
all	ism	20	41	0.00064	63861	0.996
all	ism	21	30	0.000468	63891	0.997
all	ism	22	14	0.000218	63905	0.997
all	ism	23	31	0.000484	63936	0.998
all	ism	24	24	0.000374	63960	0.998
all	ism	25	21	0.000328	63981	0.998
all	ism	26	20	0.000312	64001	0.999
all	ism	27	13	0.000203	64014	0.999
all	ism	28	19	0.000296	64033	0.999
all	ism	29	14	0.000218	64047	0.999
all	ism	30	7	0.000109	64054	0.999
all	ism	31	6	9.36e-05	64060	1
all	ism	32	5	7.8e-05	64065	1
all	ism	33	3	4.68e-05	64068	1
all	ism	34	6	9.36e-05	64074	1
all	ism	35	3	4.68e-05	64077	1
all	ism	36	2	3.12e-05	64079	1
all	ism	37	3	4.68e-05	64082	1
all	ism	38	2	3.12e-05	64084	1
all	ism	39	3	4.68e-05	64087	1
all	other	1	51704	0.547	51704	0.547
all	other	2	20448	0.216	72152	0.763
all	other	3	6410	0.0678	78562	0.831
all	other	4	4151	0.0439	82713	0.875
all	other	5	2800	0.0296	85513	0.905
all	other	6	2627	0.0278	88140	0.932
all	other	7	1971	0.0209	90111	0.953
all	other	8	1856	0.0196	91967	0.973
all	other	9	1142	0.0121	93109	0.985
all	other	10	676	0.00715	93785	0.992
all	other	11	361	0.00382	94146	0.996
all	other	12	145	0.00153	94291	0.998
all	other	13	69	0.00073	94360	0.998
all	other	14	42	0.000444	94402	0.999
all	other	15	35	0.00037	94437	0.999
all	other	16	12	0.000127	94449	0.999
all	other	17	16	0.000169	94465	0.999
all	other	18	18	0.00019	94483	1
all	other	19	6	6.35e-05	94489	1
all	other	20	13	0.000138	94502	1
all	other	21	7	7.41e-05	94509	1
all	other	22	4	4.23e-05	94513	1
all	other	23	3	3.17e-05	94516	1
all	other	24	4	4.23e-05	94520	1
all	other	25	1	1.06e-05	94521	1
all	other	26	2	2.12e-05	94523	1
all	other	27	1	1.06e-05	94524	1
