gene	target	transcript	plat	chain	chain_in2	sim_100	sim_98	sim_95	indel_0	indel_2	category	reason	notes
CC2D2A	CC2D2A+1	NIC_532252	ont	686	30	0	63	437	0	2	supported		
CC2D2A	CC2D2A+1	NIC_532252	cntl	1	1	1	1	1	1	1	supported		
CCDC106	CCDC106+1	FSM_19966	pb	36	30	4	18	25	5	11	supported		
CCDC106	CCDC106+1	FSM_19966	ont	24	0	0	1	15	0	0	supported		
CCDC106	CCDC106+1	FSM_19966	cntl	1	1	1	1	1	1	1	supported		
CCL26	CCL26+1	NNC_39593	pb	26660	26015	15655	26138	26458	15961	24107	supported		
CCL26	CCL26+1	NNC_39593	ont	80776	38972	5084	32086	37932	5084	14642	supported		
CCL26	CCL26+1	NNC_39593	cntl	1	1	1	1	1	1	1	supported		
CD200	CD200+1	NNC_80928	pb	26	24	7	367	434	7	37	supported		
CD200	CD200+1	NNC_80928	ont	187	29	0	215	805	0	4	supported		
CD200	CD200+1	NNC_80928	cntl	1	1	1	1	1	1	1	supported		
CD24	CD24+1	NIC_262159	pb	36	22	2	15	26	2	6	supported		
CD24	CD24+1	NIC_262159	ont	7	0	0	0	1	0	0	supported		
CD24	CD24+1	NIC_262159	cntl	1	1	1	1	1	1	1	supported		
CENPK	CENPK+1	NIC_72714	pb	0	0	1833	3183	3258	1872	2971	supported		
CENPK	CENPK+1	NIC_72714	ont	10	7	1483	5907	6978	1483	3636	supported		
CENPK	CENPK+1	NIC_72714	cntl	0	0	1	1	1	1	1	supported		
CERCAM	CERCAM+1	NIC_532501	pb	386	370	153	317	323	159	284	supported		
CERCAM	CERCAM+1	NIC_532501	ont	2314	947	142	1103	1360	142	459	supported		
CERCAM	CERCAM+1	NIC_532501	cntl	1	1	1	1	1	1	1	supported		
CERNA1	CERNA1+1	FSM_12039	pb	0	0	315	789	806	390	615	supported	end exon	
CERNA1	CERNA1+1	FSM_12039	ont	0	0	9	586	2324	9	46	supported	end exon	
CERNA1	CERNA1+1	FSM_12039	cntl	0	0	1	1	1	1	1	supported	end exon	
CIBAR1	CIBAR1+1	NIC_39315	pb	101	7	4	30684	31669	4	30	supported		
CIBAR1	CIBAR1+1	NIC_39315	ont	2407	78	4	28530	37343	4	41	supported		
CIBAR1	CIBAR1+1	NIC_39315	cntl	1	1	1	1	1	1	1	supported		
CNN1	CNN1+1	NIC_58623	pb	24475	21613	4224	12885	23640	4278	7988	supported		
CNN1	CNN1+1	NIC_58623	ont	10565	87	0	465	6265	0	3	supported		
CNN1	CNN1+1	NIC_58623	cntl	1	1	1	1	1	1	1	supported		
CYB5B	CYB5B+1	NNC_80301	pb	0	0	0	0	21	0	0	unsupported		
CYB5B	CYB5B+1	NNC_80301	ont	0	0	0	0	608	0	0	unsupported		
CYB5B	CYB5B+1	NNC_80301	cntl	1	1	1	1	1	1	1	unsupported		
DGUOK	DGUOK+1	NIC_59538	pb	15	14	35	109	143	35	51	supported		
DGUOK	DGUOK+1	NIC_59538	ont	174	97	45	401	577	45	122	supported		
DGUOK	DGUOK+1	NIC_59538	cntl	0	0	1	1	1	1	1	supported		
DPP3	DPP3+1	FSM_374933	pb	0	0	32	156	366	44	100	supported	end exon	
DPP3	DPP3+1	FSM_374933	ont	0	0	0	57	135	0	1	supported	end exon	
DPP3	DPP3+1	FSM_374933	cntl	0	0	1	1	1	1	1	supported	end exon	
DUSP6	DUSP6+1	FSM_7937	pb	32883	27701	2100	21978	27210	2164	6298	supported		
DUSP6	DUSP6+1	FSM_7937	ont	10472	64	0	1229	3544	0	1	supported		
DUSP6	DUSP6+1	FSM_7937	cntl	1	1	1	1	1	1	1	supported		
EFHD2	EFHD2+1	NIC_54729	pb	4	3	6486	9226	9491	6553	8975	supported	end exon	
EFHD2	EFHD2+1	NIC_54729	ont	503	242	1501	8604	19960	1501	4513	supported	end exon	
EFHD2	EFHD2+1	NIC_54729	cntl	0	0	1	1	1	1	1	supported	end exon	
EIF4G1	EIF4G1+1	NIC_256086	pb	355	128	11	1475	2341	12	121	supported	end exon	
EIF4G1	EIF4G1+1	NIC_256086	ont	42	0	0	102	243	0	0	supported	end exon	
EIF4G1	EIF4G1+1	NIC_256086	cntl	1	1	1	1	1	1	1	supported	end exon	
ENG	ENG+1	NNC_65365	pb	9354	8696	5071	8380	8677	5156	7001	supported		
ENG	ENG+1	NNC_65365	ont	13592	1707	22	2129	8248	22	215	supported		
ENG	ENG+1	NNC_65365	cntl	1	1	1	1	1	1	1	supported		
ENO1	ENO1+1	NIC_214405	pb	58	44	10	44	80	10	16	supported		
ENO1	ENO1+1	NIC_214405	ont	137	2	0	8	228	0	0	supported		
ENO1	ENO1+1	NIC_214405	cntl	1	1	1	1	1	1	1	supported		
FBXL16	FBXL16+1	NIC_57258	pb	0	0	11	21	22	12	15	supported	end exon	
FBXL16	FBXL16+1	NIC_57258	ont	0	0	1	34	40	1	9	supported	end exon	
FBXL16	FBXL16+1	NIC_57258	cntl	0	0	1	1	1	1	1	supported	end exon	
GABPA	GABPA+1	NNC_389484	pb	4	2	1	33386	34709	1	2	supported		6-base insertion seem in amplicon alignments in both PB & ONT
GABPA	GABPA+1	NNC_389484	ont	66	5	1	26533	46758	1	24	supported		
GABPA	GABPA+1	NNC_389484	cntl	1	1	1	1	1	1	1	supported		
HNRNPH2	HNRNPH2+1	NNC_65559	pb	1548	1454	786	14513	17255	797	1213	supported		
HNRNPH2	HNRNPH2+1	NNC_65559	ont	17576	8010	1165	18677	47078	1165	3023	supported		
HNRNPH2	HNRNPH2+1	NNC_65559	cntl	1	1	1	1	1	1	1	supported		
HSPA9	HSPA9+1	NIC_259605	pb	41	33	16	36	367	17	31	supported		
HSPA9	HSPA9+1	NIC_259605	ont	97	5	0	4	510	0	0	supported		
HSPA9	HSPA9+1	NIC_259605	cntl	1	1	1	1	1	1	1	supported		
HSPB11	HSPB11+1	NNC_39338	pb	2948	2896	1976	3008	3058	2008	2699	supported		
HSPB11	HSPB11+1	NNC_39338	ont	6780	4313	489	2792	3205	489	1324	supported		
HSPB11	HSPB11+1	NNC_39338	cntl	1	1	1	1	1	1	1	supported		
ID3	ID3+1	NNC_380057	pb	0	0	0	0	0	0	0	unsupported	other iso	Two possible AG acceptors, 9 bases apart in PB.. Amplicon alignments start ~21 bases from start of amplicon.
ID3	ID3+1	NNC_380057	ont	10	0	0	54	83	0	0	unsupported	other iso	
ID3	ID3+1	NNC_380057	cntl	1	1	1	1	1	1	1	unsupported	other iso	
IGF2BP3	IGF2BP3+1	NIC_405674	pb	3	0	0	5855	5971	0	1	supported		7-base deletion seen in PB & ONT amplicon lignmests @109-116 is adjacent  to a splice site in the genomic alignments.  These are not seen in genomic alignments. 
IGF2BP3	IGF2BP3+1	NIC_405674	ont	332	0	0	2414	7008	0	0	supported		
IGF2BP3	IGF2BP3+1	NIC_405674	cntl	1	1	1	1	1	1	1	supported		
ITGA7	ITGA7+1	NIC_531654	pb	2	1	0	3	5	0	0	likely		
ITGA7	ITGA7+1	NIC_531654	ont	0	0	0	0	0	0	0	likely		
ITGA7	ITGA7+1	NIC_531654	cntl	1	1	1	1	1	1	1	likely		
KLF10	KLF10+1	FSM_34168	pb	48903	42239	3450	8837	50439	4874	9065	supported		
KLF10	KLF10+1	FSM_34168	ont	34083	357	0	1130	16847	0	0	supported		
KLF10	KLF10+1	FSM_34168	cntl	1	1	1	1	2	1	1	supported		
KLF10	KLF10+2	FSM_34168	pb	48903	42239	16608	41607	50817	18904	36786	supported		
KLF10	KLF10+2	FSM_34168	ont	34083	357	0	6863	20602	0	1	supported		
KLF10	KLF10+2	FSM_34168	cntl	1	1	1	1	2	1	1	supported		
LDHA	LDHA+1	NIC_222079	pb	0	0	0	0	0	0	0	unsupported		
LDHA	LDHA+1	NIC_222079	ont	0	0	0	0	0	0	0	unsupported		
LDHA	LDHA+1	NIC_222079	cntl	1	1	1	1	1	1	1	unsupported		
LRFN3	LRFN3+1	FSM_45884	pb	24082	18039	6107	21542	23702	6186	13966	supported		
LRFN3	LRFN3+1	FSM_45884	ont	5043	2	0	2296	3213	0	0	supported		
LRFN3	LRFN3+1	FSM_45884	cntl	1	1	1	1	1	1	1	supported		
LRRC42	LRRC42+1	NNC_63198	pb	37	32	7	32	38	7	17	supported		
LRRC42	LRRC42+1	NNC_63198	ont	68	1	0	7	45	0	0	supported		
LRRC42	LRRC42+1	NNC_63198	cntl	1	1	1	1	1	1	1	supported		
MAL2	MAL2+1	NIC_62200	pb	88	83	17	54	58	20	42	supported		
MAL2	MAL2+1	NIC_62200	ont	1347	584	53	541	677	53	221	supported		
MAL2	MAL2+1	NIC_62200	cntl	1	1	1	1	1	1	1	supported		
MICOS13	MICOS13+1	NIC_378812	pb	63	57	12	27	29	13	18	supported		
MICOS13	MICOS13+1	NIC_378812	ont	144	56	1	46	60	1	14	supported		
MICOS13	MICOS13+1	NIC_378812	cntl	1	1	1	1	1	1	1	supported		
MRPS17	MRPS17+1	NNC_75388	pb	2763	2701	525	2125	2613	532	1142	supported		
MRPS17	MRPS17+1	NNC_75388	ont	8196	4794	594	4196	16919	594	1642	supported		
MRPS17	MRPS17+1	NNC_75388	cntl	1	1	1	1	1	1	1	supported		
MRPS28	MRPS28+1	NIC_77080	pb	5023	3657	1916	6704	28842	1947	3243	supported		
MRPS28	MRPS28+1	NIC_77080	ont	25441	4761	414	6476	29200	414	1751	supported		
MRPS28	MRPS28+1	NIC_77080	cntl	1	1	1	1	1	1	1	supported		
MRPS34	MRPS34+1	NNC_82768	pb	1676	1536	0	0	0	0	0	supported		
MRPS34	MRPS34+1	NNC_82768	ont	4058	1998	224	4396	6620	224	990	supported		
MRPS34	MRPS34+1	NNC_82768	cntl	1	1	1	1	1	1	1	supported		
MTHFS	MTHFS+1	NIC_56943	pb	10012	9439	3718	8161	8917	4046	6943	supported		
MTHFS	MTHFS+1	NIC_56943	ont	40050	9388	340	11513	16234	340	2301	supported		
MTHFS	MTHFS+1	NIC_56943	cntl	1	1	1	1	1	1	1	supported		
NACC2	NACC2+1	NNC_82885	pb	63	12	0	34	40	0	0	likely		
NACC2	NACC2+1	NNC_82885	ont	236	7	0	12	82	0	0	likely		
NACC2	NACC2+1	NNC_82885	cntl	1	1	1	1	1	1	1	likely		
NEK2	NEK2+2	FSM_913	pb	35739	30295	14723	42872	43447	14999	26132	supported		
NEK2	NEK2+2	FSM_913	ont	46817	2856	8	2951	42994	8	82	supported		
NEK2	NEK2+2	FSM_913	cntl	1	1	1	1	1	1	1	supported		
NODAL	NODAL+1	NNC_117384	pb	14685	13902	7437	12163	13382	7812	11327	supported		
NODAL	NODAL+1	NNC_117384	ont	59319	14650	521	12820	29361	521	2879	supported		
NODAL	NODAL+1	NNC_117384	cntl	1	1	1	1	1	1	1	supported		
NUDC	NUDC+1	NNC_63170	pb	4210	3942	2264	4205	4267	2327	3382	supported		
NUDC	NUDC+1	NNC_63170	ont	10094	1337	11	1322	7247	11	124	supported		
NUDC	NUDC+1	NNC_63170	cntl	1	1	1	1	1	1	1	supported		
NUDT21	NUDT21+1	FSM_12847	pb	17312	14251	4718	15486	16033	4886	9923	supported		
NUDT21	NUDT21+1	FSM_12847	ont	4086	12	0	1324	2224	0	0	supported		
NUDT21	NUDT21+1	FSM_12847	cntl	1	1	1	1	1	1	1	supported		
PDLIM1	PDLIM1+1	FSM_4157	pb	111052	102894	59885	104137	107247	61618	91732	supported		
PDLIM1	PDLIM1+1	FSM_4157	ont	204867	30817	367	22963	150080	367	2452	supported		
PDLIM1	PDLIM1+1	FSM_4157	cntl	1	1	1	1	1	1	1	supported		
PIN4	PIN4+1	NIC_62916	pb	12	12	13607	19897	20109	14054	19359	supported		
PIN4	PIN4+1	NIC_62916	ont	966	611	5572	18615	21456	5572	12769	supported		
PIN4	PIN4+1	NIC_62916	cntl	0	0	1	1	1	1	1	supported		
PSMC1	PSMC1+1	FSM_11094	pb	1	1	15464	29986	31005	15708	24331	supported		
PSMC1	PSMC1+1	FSM_11094	ont	74	9	142	8115	48078	142	803	supported		
PSMC1	PSMC1+1	FSM_11094	cntl	0	0	1	1	1	1	1	supported		
PSMD2	PSMD2+1	NIC_256041	pb	65	55	17	61	65	23	48	supported		
PSMD2	PSMD2+1	NIC_256041	ont	139	13	0	10	74	0	0	supported		
PSMD2	PSMD2+1	NIC_256041	cntl	1	1	1	1	1	1	1	supported		
PYM1	PYM1+1	FSM_7648	pb	40740	1319	233	34615	35237	236	587	supported		
PYM1	PYM1+1	FSM_7648	ont	69126	423	0	7460	26990	0	4	supported		
PYM1	PYM1+1	FSM_7648	cntl	1	1	1	1	1	1	1	supported		
QTRT1	QTRT1+1	FSM_18744	pb	50159	45386	20361	49816	51222	20597	36504	supported		
QTRT1	QTRT1+1	FSM_18744	ont	50885	1947	4	2769	38179	4	17	supported		
QTRT1	QTRT1+1	FSM_18744	cntl	1	1	1	1	1	1	1	supported		
RASL11B	RASL11B+1	FSM_28408	pb	39056	37047	21705	34439	34838	22160	30654	supported		
RASL11B	RASL11B+1	FSM_28408	ont	158320	56127	2210	25588	99022	2210	7568	supported		
RASL11B	RASL11B+1	FSM_28408	cntl	1	1	1	1	1	1	1	supported		
RND2	RND2+1	NNC_39449	pb	1237	1160	466	863	955	482	732	supported		
RND2	RND2+1	NNC_39449	ont	3811	2301	477	2026	2861	477	1166	supported		
RND2	RND2+1	NNC_39449	cntl	1	1	1	1	1	1	1	supported		
RPL37	RPL37+1	NIC_61094	pb	2603	2313	269	1437	1874	287	1118	supported		
RPL37	RPL37+1	NIC_61094	ont	5841	729	11	1868	2721	11	149	supported		
RPL37	RPL37+1	NIC_61094	cntl	1	1	1	1	1	1	1	supported		
RPL39L	RPL39L+1	NNC_64587	pb	18270	16984	10462	16265	16670	10740	14508	supported		
RPL39L	RPL39L+1	NNC_64587	ont	57346	28222	1832	15045	17825	1832	6845	supported		
RPL39L	RPL39L+1	NNC_64587	cntl	1	1	1	1	1	1	1	supported		
RPS11	RPS11+1	NIC_68628	pb	31	27	1876	3883	4011	2182	3240	supported		
RPS11	RPS11+1	NIC_68628	ont	118	42	2021	19064	34520	2021	5447	supported		
RPS11	RPS11+1	NIC_68628	cntl	0	0	1	1	1	1	1	supported		
RPSA	RPSA+1	NIC_77005	pb	37937	34771	11516	27608	28110	11885	23781	supported		
RPSA	RPSA+1	NIC_77005	ont	114805	23567	1166	34807	65214	1166	5736	supported		
RPSA	RPSA+1	NIC_77005	cntl	1	1	1	1	1	1	1	supported		
RUVBL2	RUVBL2+1	NIC_58857	pb	8945	6058	1824	20611	22918	1993	4514	supported		
RUVBL2	RUVBL2+1	NIC_58857	ont	3271	41	0	1219	6296	0	0	supported		
RUVBL2	RUVBL2+1	NIC_58857	cntl	1	1	1	1	1	1	1	supported		
SAC3D1	SAC3D1+1	NIC_39196	pb	10427	9834	4854	7825	7959	4932	7255	supported		
SAC3D1	SAC3D1+1	NIC_39196	ont	34490	13744	1424	11811	14196	1424	4673	supported		
SAC3D1	SAC3D1+1	NIC_39196	cntl	1	1	1	1	1	1	1	supported		
SDHC	SDHC+1	NIC_78892	pb	0	0	7303	11847	12137	7488	10661	supported	end exon	
SDHC	SDHC+1	NIC_78892	ont	1	0	2127	16145	19614	2127	6975	supported	end exon	
SDHC	SDHC+1	NIC_78892	cntl	0	0	1	1	1	1	1	supported	end exon	
SLC46A1	SLC46A1+1	FSM_44519	pb	301	218	18	88	121	18	36	supported		
SLC46A1	SLC46A1+1	FSM_44519	ont	228	20	0	19	105	0	1	supported		
SLC46A1	SLC46A1+1	FSM_44519	cntl	1	1	1	1	1	1	1	supported		
SLC9B1	SLC9B1+1	NIC_379324	pb	57862	55836	35471	56301	56727	37043	52149	supported		
SLC9B1	SLC9B1+1	NIC_379324	ont	187696	60591	3231	35577	102014	3231	10133	supported		
SLC9B1	SLC9B1+1	NIC_379324	cntl	1	1	1	1	1	1	1	supported		
SNHG3	SNHG3+1	NNC_79612	pb	8	1	0	357	397	0	0	supported		4-base deletion in ONT amplicon alignments, also in a few PB, with PB also having lots of alignments start or ending around this point.
SNHG3	SNHG3+1	NNC_79612	ont	20	0	0	659	1140	0	1	supported		
SNHG3	SNHG3+1	NNC_79612	cntl	1	1	1	1	1	1	1	supported		
SORD	SORD+1	NNC_388728	pb	0	0	0	0	0	0	0	supported		
SORD	SORD+1	NNC_388728	ont	0	0	0	0	0	0	0	supported		
SORD	SORD+1	NNC_388728	cntl	1	1	1	1	1	1	1	supported		
SPRING1	SPRING1+1	NIC_56020	pb	0	0	93	521	622	97	195	supported	end exon	
SPRING1	SPRING1+1	NIC_56020	ont	0	0	0	78	407	0	1	supported	end exon	
SPRING1	SPRING1+1	NIC_56020	cntl	0	0	1	1	1	1	1	supported	end exon	
TAGLN2	TAGLN2+1	FSM_607	pb	45996	43450	22750	44966	45497	24071	38969	supported		
TAGLN2	TAGLN2+1	FSM_607	ont	55710	5993	156	20388	40549	156	1402	supported		
TAGLN2	TAGLN2+1	FSM_607	cntl	1	1	1	1	1	1	1	supported		
TEX264	TEX264+1	FSM_27088	pb	3	0	38056	96558	100840	39844	77872	supported	end exon	
TEX264	TEX264+1	FSM_27088	ont	7	0	2	5330	58190	2	45	supported	end exon	
TEX264	TEX264+1	FSM_27088	cntl	0	0	1	1	1	1	1	supported	end exon	
THBS4	THBS4+1	NIC_61311	pb	0	0	1521	3018	3058	1702	2673	supported	end exon	
THBS4	THBS4+1	NIC_61311	ont	0	0	85	2897	7063	85	496	supported	end exon	
THBS4	THBS4+1	NIC_61311	cntl	0	0	1	1	1	1	1	supported	end exon	
TIMM22	TIMM22+1	FSM_16709	pb	1055	1034	573	2310	2474	613	915	supported		
TIMM22	TIMM22+1	FSM_16709	ont	4277	1711	107	2990	4268	107	449	supported		
TIMM22	TIMM22+1	FSM_16709	cntl	1	1	1	1	1	1	1	supported		
TMEM167B	TMEM167B+1	FSM_1823	pb	7962	7387	4012	6633	6739	4128	6062	supported		
TMEM167B	TMEM167B+1	FSM_1823	ont	37924	16394	1022	7608	9129	1022	3138	supported		
TMEM167B	TMEM167B+1	FSM_1823	cntl	1	1	1	1	1	1	1	supported		
TNPO3	TNPO3+1	NNC_84136	pb	13860	13362	6939	12739	12878	7389	12171	supported		
TNPO3	TNPO3+1	NNC_84136	ont	40614	12571	840	12338	24550	840	3329	supported		
TNPO3	TNPO3+1	NNC_84136	cntl	1	1	1	1	1	1	1	supported		
UBE2E1	UBE2E1+1	FSM_26800	pb	0	0	255	732	789	268	408	supported	end exon	
UBE2E1	UBE2E1+1	FSM_26800	ont	0	0	65	1057	1394	65	230	supported	end exon	
UBE2E1	UBE2E1+1	FSM_26800	cntl	0	0	1	1	1	1	1	supported	end exon	
USF1	USF1+1	NIC_387124	pb	8541	7310	3444	8890	13435	3563	5904	supported		
USF1	USF1+1	NIC_387124	ont	16269	1483	21	2144	13940	21	142	supported		
USF1	USF1+1	NIC_387124	cntl	1	1	1	1	1	1	1	supported		
WSB1	WSB1+1	NNC_63906	pb	1312	1118	550	1313	1395	591	945	supported		
WSB1	WSB1+1	NNC_63906	ont	2688	1056	67	678	1015	67	214	supported		
WSB1	WSB1+1	NNC_63906	cntl	1	1	1	1	1	1	1	supported		
XPO7	XPO7+1	NNC_69340	pb	3	3	5145	11482	11685	6266	10879	supported		
XPO7	XPO7+1	NNC_69340	ont	0	0	215	7702	33526	215	1202	supported		
XPO7	XPO7+1	NNC_69340	cntl	0	0	1	1	1	1	1	supported		
XRCC6	XRCC6+1	NNC_64547	pb	131	114	29	95	126	29	49	supported		
XRCC6	XRCC6+1	NNC_64547	ont	561	178	4	145	239	4	23	supported		
XRCC6	XRCC6+1	NNC_64547	cntl	1	1	1	1	1	1	1	supported		
ZBTB45	ZBTB45+1	FSM_45682	pb	1	1	0	1	19	0	0	unsupported		
ZBTB45	ZBTB45+1	FSM_45682	ont	0	0	0	0	1	0	0	unsupported		
ZBTB45	ZBTB45+1	FSM_45682	cntl	0	0	1	1	1	1	1	unsupported		
ZDHHC8	ZDHHC8+1	NNC_64531	pb	0	0	7	17	23	7	12	supported	end exon	
ZDHHC8	ZDHHC8+1	NNC_64531	ont	0	0	4	64	134	4	17	supported	end exon	
ZDHHC8	ZDHHC8+1	NNC_64531	cntl	0	0	1	1	1	1	1	supported	end exon	
ZNF148	ZNF148+1	NNC_534199	pb	4120	3967	2054	3547	3599	2429	3619	supported		
ZNF148	ZNF148+1	NNC_534199	ont	15242	4862	302	3791	9482	302	972	supported		
ZNF148	ZNF148+1	NNC_534199	cntl	1	1	1	1	1	1	1	supported		
ZNF622	ZNF622+1	FSM_28983	pb	190001	174946	85148	182688	186144	87800	150078	supported		
ZNF622	ZNF622+1	FSM_28983	ont	94797	7080	35	8234	47023	35	326	supported		
ZNF622	ZNF622+1	FSM_28983	cntl	1	1	1	1	1	1	1	supported		
ZNF749	ZNF749+1	NIC_39248	pb	1527	1468	790	1252	1343	827	1119	supported		
ZNF749	ZNF749+1	NIC_39248	ont	10895	4005	229	2514	3278	229	911	supported		
ZNF749	ZNF749+1	NIC_39248	cntl	1	1	1	1	1	1	1	supported		
ZSCAN21	ZSCAN21+1	NNC_384123	pb	0	0	0	0	0	0	0	unsupported		No read covers the entire amplicon alignment.  PB  short by 11 bases on 5' end.  ONT has 16-base gap in middle
ZSCAN21	ZSCAN21+1	NNC_384123	ont	1	0	0	0	0	0	0	unsupported		
ZSCAN21	ZSCAN21+1	NNC_384123	cntl	0	0	1	1	1	1	1	unsupported		
