transcript	platformBarcode	libraryBarcode	dataCetegory	platformLibraryBarcode	tssStdDev	ttsStdDev	numExons	length	mediaCpm	associatedGene	pbPlatformCount	ontPlatformCount	freestylePlatformCount	cDNAPrepCount	dRNAPrepCount	capTrapPrepCount	r2c2PrepCount	freestylePrepCount	longOnlyCatCount	longShortCatCount	freeStyleCatCount
NIC_56943	17,15,0	15,6,8,3,0	26,7,0	11,6,4,6,2,3	40.576320741019	489.266140354675	3	941	10.9420756190155	ENSG00000136371.11	17	15	0	15	6	8	3	0	26	7	0
NIC_57258	10,11,0	10,6,0,5,0	16,6,0	10,0,0,6,0,5	135.329548067252	2.66774869822536	4	2169.5	9.19334413183295	ENSG00000127585.12	10	11	0	10	6	0	5	0	16	6	0
NNC_82768	2,0,0	2,0,0,0,0	2,0,0	2,0,0,0,0,0	16.2634559672906	7.77817459305202	3	1012	43.4092244456724	ENSG00000074071.15	2	0	0	2	0	0	0	0	2	0	0
FSM_12847	16,27,0	19,8,10,6,0	34,10,0	11,5,8,8,5,6	13.2542574053213	1439.78635436972	7	4384	162.185351410284	ENSG00000167005.14	16	27	0	19	8	10	6	0	34	10	0
NNC_80301	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	4	1794	25.838717595736	ENSG00000103018.18	0	1	0	1	0	0	0	0	1	0	0
FSM_16709	17,25,0	19,8,10,5,0	33,10,0	11,6,8,8,4,5	7.32127474076661	785.769766462496	4	1687	41.935574054998	ENSG00000177370.5	17	25	0	19	8	10	5	0	33	10	0
NNC_63906	13,13,0	14,1,6,5,0	19,8,0	9,4,5,1,2,5	19.6927758002576	315.160319668571	10	2986	14.062163551751	ENSG00000109046.15	13	13	0	14	1	6	5	0	19	8	0
FSM_44519	10,11,0	10,5,0,6,0	17,5,0	10,0,0,5,0,6	11.335987622815	1777.13957938463	5	4161.5	2.66075556856179	ENSG00000076351.13	10	11	0	10	5	0	6	0	17	5	0
NNC_39449	15,10,0	13,1,8,3,0	20,6,0	10,5,3,1,3,3	109.802579835182	983.935043562703	5	1195	14.8811618416382	ENSG00000108830.10	15	10	0	13	1	8	3	0	20	6	0
NIC_378812	0,1,0	0,0,1,0,0	1,0,0	0,0,0,0,1,0	NaN	NaN	3	700	12.1458011271458	ENSG00000174917.9	0	1	0	0	0	1	0	0	1	0	0
FSM_18744	16,27,0	19,9,9,6,0	34,10,0	11,5,8,9,4,6	7.98386321786682	1.66165560985137	10	1329	32.7846476104743	ENSG00000213339.9	16	27	0	19	9	9	6	0	34	10	0
NIC_58623	10,7,0	11,0,3,3,0	14,4,0	8,2,3,0,1,3	44.8281318315717	0.514495755427527	7	1487	2.39948073127323	ENSG00000130176.8	10	7	0	11	0	3	3	0	14	4	0
FSM_45884	11,12,0	11,7,0,5,0	19,5,0	11,0,0,7,0,5	11.1107729417138	660.386508039042	3	3250	16.1348527507046	ENSG00000126243.9	11	12	0	11	7	0	5	0	19	5	0
NIC_58857	13,10,0	13,0,6,4,0	18,6,0	9,4,4,0,2,4	154.58314499954	14.3571801962783	15	1789	18.9225841453306	ENSG00000183207.14	13	10	0	13	0	6	4	0	18	6	0
NIC_68628	1,6,0	3,4,0,0,0	4,3,0	1,0,2,4,0,0	10	22.6452980507991	4	420	7.63276624424394	ENSG00000142534.7	1	6	0	3	4	0	0	0	4	3	0
FSM_19966	11,14,0	11,7,1,6,0	21,5,0	11,0,0,7,1,6	11.3243101335137	8.84394621282743	6	1546	19.1289076658156	ENSG00000173581.8	11	14	0	11	7	1	6	0	21	5	0
NIC_39248	12,16,0	14,7,4,3,0	23,6,0	9,3,5,7,1,3	15.477458581367	2.12132034355964	2	616	13.0416391591984	ENSG00000186230.7	12	16	0	14	7	4	3	0	23	6	0
FSM_45682	14,12,0	11,7,3,5,0	21,6,0	11,3,0,7,0,5	98.9055104632699	1.27936765989898	3	2129	20.3197607089874	ENSG00000119574.13	14	12	0	11	7	3	5	0	21	6	0
FSM_21072	16,27,0	18,9,10,6,0	34,10,0	11,5,7,9,5,6	11.138281320843	7.49037437283632	7	1165	23.5993507078931	ENSG00000143933.20	16	27	0	18	9	10	6	0	34	10	0
NIC_59538	11,6,0	12,0,3,2,0	15,3,0	9,2,3,0,1,2	24.3244007241337	7.21563299213064	4	628	3.63347783432121	ENSG00000114956.20	11	6	0	12	0	3	2	0	15	3	0
NIC_59301	16,11,0	17,3,7,0,0	22,6,0	11,5,6,3,2,0	28.7741387047651	1.2724180205607	6	2365	11.291489238774	ENSG00000138381.10	16	11	0	17	3	7	0	0	22	6	0
NIC_485306	2,6,0	2,2,4,0,0	4,4,0	0,2,2,2,2,0	8.66437698691767	4.43202630213959	10	1337.5	4.32404291213137	ENSG00000163466.16	2	6	0	2	2	4	0	0	4	4	0
NIC_59594	14,17,0	15,5,6,5,0	24,8,0	10,4,5,5,2,5	31.291279188071	8.5298337918232	8	1990	10.5028477945605	ENSG00000101474.12	14	17	0	15	5	6	5	0	24	8	0
NNC_389484	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	4	520	146.032929472091	ENSG00000154727.11	0	1	0	1	0	0	0	0	1	0	0
NNC_64531	10,0,0	10,0,0,0,0	9,2,0	10,0,0,0,0,0	287.898024875602	11.4407564911989	10	3316	6.71585311568229	ENSG00000099904.16	10	0	0	10	0	0	0	0	9	2	0
NNC_64547	10,14,0	10,3,7,4,0	16,9,0	6,4,4,3,3,4	30.4931686338651	1.73205080756888	13	2161	16.2931672459316	ENSG00000196419.13	10	14	0	10	3	7	4	0	16	9	0
FSM_26800	4,21,0	7,5,9,4,0	18,7,0	0,4,7,5,5,4	40.0321537433765	6.42209726906509	5	1398	0.837678792067182	ENSG00000170142.12	4	21	0	7	5	9	4	0	18	7	0
NIC_77005	14,12,0	11,2,9,4,0	21,6,0	8,6,3,2,3,4	119.116069155402	3.43353662994496	7	1151	24.7374310658844	ENSG00000168028.14	14	12	0	11	2	9	4	0	21	6	0
FSM_27088	17,26,0	19,8,11,5,0	34,10,0	11,6,8,8,5,5	24.1354296403088	2.62451264142419	5	1320	12.3805438102196	ENSG00000164081.13	17	26	0	19	8	11	5	0	34	10	0
NNC_80928	2,8,0	5,0,2,3,0	7,4,0	0,2,5,0,0,3	27.191241905504	8.12515734113388	6	2117	2.87096862174845	ENSG00000091972.18	2	8	0	5	0	2	3	0	7	4	0
NNC_534199	0,1,0	0,1,0,0,0	0,1,0	0,0,0,1,0,0	NaN	NaN	8	1300	12.2036816658543	ENSG00000163848.20	0	1	0	0	1	0	0	0	0	1	0
NIC_256041	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	19	2947	14.0628948273591	ENSG00000175166.17	1	0	0	1	0	0	0	0	1	0	0
NIC_256086	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	29	5428	18.9732167742042	ENSG00000114867.22	1	0	0	1	0	0	0	0	1	0	0
NNC_64587	13,10,0	13,5,3,2,0	19,5,0	10,3,3,5,0,2	62.9263325908425	66.4671652620376	3	419	11.5369729540507	ENSG00000163923.10	13	10	0	13	5	3	2	0	19	5	0
NIC_532252	0,1,0	0,1,0,0,0	0,1,0	0,0,0,1,0,0	NaN	NaN	9	1257	24.7771718670376	ENSG00000048342.18	0	1	0	0	1	0	0	0	0	1	0
FSM_28408	15,27,0	19,8,9,6,0	33,10,0	11,4,8,8,5,6	6.28802937332345	2.97721134208092	4	1968	57.7206724870635	ENSG00000128045.7	15	27	0	19	8	9	6	0	33	10	0
NIC_379324	0,1,0	0,0,1,0,0	1,0,0	0,0,0,0,1,0	NaN	NaN	3	1053	115.095924966762	ENSG00000164037.17	0	1	0	0	0	1	0	0	1	0	0
FSM_28983	17,28,0	19,9,12,5,0	36,10,0	11,6,8,9,6,5	117.707105843094	1.53289218606733	6	1707	45.3541687304263	ENSG00000173545.5	17	28	0	19	9	12	5	0	36	10	0
NIC_61094	11,15,0	14,4,5,3,0	16,10,0	9,2,5,4,3,3	11.9757607755769	639.856651439629	5	3070.5	13.3811662897916	ENSG00000145592.14	11	15	0	14	4	5	3	0	16	10	0
NIC_72714	10,6,0	8,0,6,2,0	15,2,0	6,4,2,0,2,2	25.1284282934037	149.380769776718	10	1578.5	4.39442610992217	ENSG00000123219.13	10	6	0	8	0	6	2	0	15	2	0
NIC_61311	10,2,0	10,1,0,1,0	10,3,0	10,0,0,1,0,1	146.661644935675	291.386259766916	21	3079	4.45918261467603	ENSG00000113296.14	10	2	0	10	1	0	1	0	10	3	0
NIC_259605	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	14	5403	10.9647155037545	ENSG00000113013.16	1	0	0	1	0	0	0	0	1	0	0
NIC_262159	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	2	5088	10.3133462659077	ENSG00000272398.6	1	0	0	1	0	0	0	0	1	0	0
FSM_32744	16,27,0	18,8,11,6,0	34,10,0	11,5,7,8,6,6	87.3864923693919	3.41522592458274	10	2489	14.4681899792351	ENSG00000106524.9	16	27	0	18	8	11	6	0	34	10	0
NIC_405674	1,8,0	6,0,0,3,0	6,3,0	1,0,5,0,0,3	120.285078043787	381.22552380448	8	3364.5	15.0154966750913	ENSG00000136231.14	1	8	0	6	0	0	3	0	6	3	0
NNC_75388	11,6,0	10,1,5,1,0	15,3,0	8,3,2,1,2,1	21.2547572529623	271.628010918958	3	595.5	4.88703152233337	ENSG00000239789.6	11	6	0	10	1	5	1	0	15	3	0
NNC_39593	10,16,0	11,5,7,3,0	24,3,0	7,3,4,5,4,3	44.468644205331	3.80620276485364	4	625	10.9208667570743	ENSG00000006606.9	10	16	0	11	5	7	3	0	24	3	0
FSM_33192	0,11,0	7,0,4,0,0	8,3,0	0,0,7,0,4,0	33.0841901270627	9.84331799196333	12	1865	0.604731595928463	ENSG00000070669.17	0	11	0	7	0	4	0	0	8	3	0
NNC_384123	0,9,0	5,0,3,1,0	8,1,0	0,0,5,0,3,1	10.3896315836725	36.2931735240175	5	1870	0.537716838406411	ENSG00000166529.16	0	9	0	5	0	3	1	0	8	1	0
NNC_84136	0,2,0	0,0,0,2,0	2,0,0	0,0,0,0,0,2	0	0	24	3582	17.9294916229914	ENSG00000064419.14	0	2	0	0	0	0	2	0	2	0	0
NNC_69340	9,8,0	8,1,4,4,0	12,5,0	6,3,2,1,1,4	10.7583756700918	1.40900465494159	6	2051	7.01519977939895	ENSG00000130227.17	9	8	0	8	1	4	4	0	12	5	0
NIC_77080	12,11,0	10,5,5,3,0	19,5,0	7,5,3,5,0,3	12.4788491006522	60.435284770738	3	816	14.3973958650522	ENSG00000147586.10	12	11	0	10	5	5	3	0	19	5	0
NNC_75451	10,13,0	9,3,9,2,0	17,6,0	5,5,4,3,4,2	7.07414152112251	318.971127220004	11	2340	10.7347810273059	ENSG00000104327.7	10	13	0	9	3	9	2	0	17	6	0
NIC_39315	10,19,0	12,5,8,4,0	23,7,0	5,5,7,5,3,4	13.649575977654	294.448271983297	8	1903	18.9099881011517	ENSG00000188343.14	10	19	0	12	5	8	4	0	23	7	0
FSM_34168	15,27,0	19,8,9,6,0	33,10,0	11,4,8,8,5,6	4.551294949164	2.27193381901022	4	2915	21.7796485937467	ENSG00000155090.15	15	27	0	19	8	9	6	0	33	10	0
FSM_34168	15,27,0	19,8,9,6,0	33,10,0	11,4,8,8,5,6	4.551294949164	2.27193381901022	4	2915	21.7796485937467	ENSG00000155090.15	15	27	0	19	8	9	6	0	33	10	0
NIC_62200	10,12,0	10,7,0,5,0	18,5,0	10,0,0,7,0,5	27.8356716352348	612.883902922518	3	2655	19.2666122175452	ENSG00000147676.14	10	12	0	10	7	0	5	0	18	5	0
NNC_65365	12,7,0	9,0,4,6,0	16,4,0	9,3,0,0,1,6	77.7743700172425	2.45539148984863	11	2086	1.69697902479899	ENSG00000106991.14	12	7	0	9	0	4	6	0	16	4	0
NIC_532501	0,1,0	0,1,0,0,0	0,1,0	0,0,0,1,0,0	NaN	NaN	11	1962	17.0111926251303	ENSG00000167123.20	0	1	0	0	1	0	0	0	0	1	0
NNC_82885	9,0,0	9,0,0,0,0	9,1,0	9,0,0,0,0,0	98.8674196419967	1524.50092379987	6	7093	3.26130002407859	ENSG00000148411.8	9	0	0	9	0	0	0	0	9	1	0
NIC_62916	14,17,0	16,8,5,2,0	26,6,0	11,3,5,8,2,2	79.9810193587284	140.887838596935	3	370	11.2251630083028	ENSG00000102309.15	14	17	0	16	8	5	2	0	26	6	0
NNC_65559	13,17,0	14,6,7,3,0	21,10,0	9,4,5,6,3,3	12.6400115693427	4.12467007478252	2	2286	28.8567206108231	ENSG00000126945.9	13	17	0	14	6	7	3	0	21	10	0
