transcript	LRGASP_id
NIC_387124	NIC_chr1_-_161040010_161040201_161040671_161040813_161040873_161041323_161041412_161041650_161041847_161042115_161042218_161042554_161042671_161042832_161042883_161043267_161043361_161045857
NIC_39183	NIC_chr10_+_72216139_72230365_72230441_72233000
NIC_39196	NIC_chr11_+_65041107_65044224
NIC_39248	NIC_chr19_+_57435594_57438101
NIC_39315	NIC_chr8_+_93700674_93701223_93701459_93703619_93703689_93704908_93705011_93709770_93709876_93718674_93718789_93726393_93726514_93728204
NIC_405674	NIC_chr7_-_23312461_23312734_23312849_23313521_23313654_23317638_23317714_23319137_23319255_23342063_23342190_23343717_23343854_23469935
NIC_485306	NIC_chr2_+_218217255_218225919_218225955_218228737_218228851_218234351_218234398_218238663_218238851_218239390_218239485_218245419_218245547_218249363_218249465_218249820_218249922_218253890
NIC_531654	NIC_chr12_-_55685289_55687970_55688097_55688201_55688301_55688843_55688958_55692843_55692976_55693140_55693318_55694020_55694124_55694255_55694331_55694442_55694523_55694614_55694696_55694777_55694971_55695521_55695638_55696282_55696433_55696898_55697069_55697215_55697278_55697450_55697547_55697694_55697823_55697937_55698027_55698382_55698577_55698709_55698918_55699869_55700394_55700898_55701155_55702871_55702952_55703050_55703179_55707476
NIC_532252	NIC_chr4_+_15470058_15475914_15475972_15478722_15478807_15479218_15479329_15480703_15480828_15502428_15502518_15502821_15502924_15510138_15510241_15511246
NIC_532501	NIC_chr9_+_128421075_128422867_128422979_128423145_128423264_128424137_128424273_128424409_128424615_128428301_128428422_128428756_128428834_128428929_128429037_128431170_128431304_128435652_128435906_128436848
NIC_54729	NIC_chr1_+_15410280_15425870_15426019_15428592
NIC_56020	NIC_chr12_-_116717894_116719762_116719877_116737789
NIC_56943	NIC_chr15_-_79845443_79889092_79889355_79896790
NIC_57258	NIC_chr16_-_694424_694633_694698_694991_695077_695215
NIC_58623	NIC_chr19_+_11540022_11541075_11541198_11546674_11546742_11546831_11546970_11547796_11547908_11549322_11549470_11549549
NIC_58857	NIC_chr19_+_48993903_48999318_48999374_49003278_49003335_49004276_49004419_49007017_49007148_49007301_49007369_49009775_49009883_49009972_49010067_49010487_49010612_49010998_49011094_49011191_49011311_49014483_49014604_49015020_49015151_49015571_49015687_49015816
NIC_59301	NIC_chr2_+_189661611_189663900_189663955_189665421_189665452_189666040_189667597_189667763_189667946_189670440
NIC_59538	NIC_chr2_+_73927053_73957124_73957241_73958145_73958246_73958709
NIC_59594	NIC_chr20_-_24964023_24969525_24969661_24970196_24970372_24971459_24971577_24973644_24973738_24978766_24978883_24983902_24984020_24992593
NIC_61094	NIC_chr5_-_40827952_40832441_40832574_40834180_40834266_40834470_40834607_40835182
NIC_61311	NIC_chr5_+_80035626_80040076_80040281_80055784_80056033_80058205_80058315_80058707_80058791_80059439_80059492_80059702_80059906_80065408_80065478_80067972_80068126_80070305_80070411_80070642_80070751_80071020_80071181_80072277_80072397_80073274_80073328_80076854_80077049_80078048_80078228_80078920_80078970_80079061_80079259_80079904_80080078_80082405_80082546_80083079
NIC_62200	NIC_chr8_+_119208605_119240164_119240321_119243416
NIC_62916	NIC_chrX_+_72181829_72196784_72196905_72197367
NIC_68628	NIC_chr19_+_49496472_49497519_49497596_49497916_49498047_49499511
NIC_72714	NIC_chr5_-_65518634_65521474_65521529_65528451_65528579_65528918_65529018_65529116_65529200_65542801_65542849_65551563_65551637_65552492_65552550_65561462_65561565_65563097
NIC_77005	NIC_chr3_+_39407083_39407620_39407787_39408605_39408725_39410753_39411000_39411648_39411778_39411895_39412062_39412273
NIC_77080	NIC_chr8_-_79919149_80002998_80003181_80030053
NIC_78892	NIC_chr1_+_161314426_161328395_161328498_161340593_161340656_161356676_161356841_161362328
NNC_117384	NNC_chr10_-_70433089_70435285_70435984_70442030
NNC_380057	NNC_chr1_-_23558416_23558934_23559011_23559114
NNC_381534	NNC_chr15_+_44711614_44715422_44715459_44715512_44715702_44716328_44716357_44717606
NNC_384123	NNC_chr7_+_100049842_100056910_100057277_100057387_100057406_100057697_100057891_100063787
NNC_388728	NNC_chr15_+_45023367_45043256_45043422_45061066_45061227_45065270_45065390_45068180_45068247_45068876_45069053_45072316_45072439_45073364
NNC_389484	NNC_chr21_+_25724678_25725225_25725351_25729630_25729796_25734852
NNC_39338	NNC_chr1_-_53921768_53923903_53923948_53928371_53928441_53930038_53930146_53939984_53940098_53946236
NNC_39352	NNC_chr1_+_63367688_63370770_63371060_63396512_63396598_63402253_63402344_63404452_63404542_63406316_63406400_63407061_63407127_63411139_63411332_63411925_63412062_63414060_63414147_63415872_63415958_63419369_63419441_63428732_63428802_63428927_63429127_63436822
NNC_39449	NNC_chr17_+_43025540_43025959_43026048_43027182_43027293_43028060_43028196_43028431
NNC_39593	NNC_chr7_-_75769790_75771888_75772004_75772103_75772255_75788119
NNC_534199	NNC_chr3_-_125272932_125277725_125277810_125279123_125279248_125288102_125288229_125313307_125313657_125323308_125323445_125331157_125331239_125375101
NNC_63170	NNC_chr1_+_26921930_26924088_26924167_26934248_26934420_26941456_26941661_26941752_26941819_26942659_26942777_26942870_26943066_26945389_26945474_26945567_26945687_26946129
NNC_63198	NNC_chr1_+_53946689_53947787_53947822_53951985_53952473_53958148_53958281_53960355_53960475_53962033_53962123_53962295_53962410_53966295_53966381_53967664
NNC_63906	NNC_chr17_+_27294436_27301787_27301957_27303366_27303636_27304779_27304912_27306781_27306883_27307743_27307920_27309099_27309273_27310060_27310175_27311508_27311617_27312209
NNC_64531	NNC_chr22_+_20132052_20139193_20139316_20139477_20139636_20139719_20139816_20140616_20140709_20140870_20141013_20141216_20141338_20141420_20141531_20142755_20143757_20145228
NNC_64547	NNC_chr22_+_41621411_41621989_41622087_41628117_41628231_41636112_41636252_41636515_41636771_41637607_41637792_41646895_41647083_41650722_41650892_41653528_41653691_41656902_41657033_41658251_41658353_41661330_41661445_41663621
NNC_64587	NNC_chr3_-_187171706_187173615_187173676_187180664
NNC_65365	NNC_chr9_-_127815807_127815942_127816054_127817148_127817204_127818119_127818378_127818715_127818833_127819621_127819661_127819899_127820038_127824303_127824447_127824799_127824975_127825230_127825358_127825450
NNC_65559	NNC_chrX_+_101408308_101411935
NNC_69340	NNC_chr8_+_21919721_21999659_21999675_22002111_22002273_22003218_22003318_22003902_22004031_22004994
NNC_75388	NNC_chr7_+_55951949_55953178_55953319_55954908
NNC_75451	NNC_chr8_-_90060287_90060628_90060701_90063099_90063154_90063280_90063321_90063405_90063462_90065897_90065976_90068997_90069055_90069153_90069238_90078372_90078448_90082025_90082103_90082808
NNC_79612	NNC_chr1_+_28506085_28506219_28506332_28508127_28508161_28508829
NNC_80301	NNC_chr16_+_69424858_69447149_69447279_69448114_69448159_69462429
NNC_80928	NNC_chr3_+_112333225_112344961_112345289_112347348_112347424_112347562_112347831_112349711_112349820_112361542
NNC_82768	NNC_chr16_-_1772514_1772603_1772647_1772794
NNC_82885	NNC_chr9_-_136012025_136013198_136013297_136013863_136013970_136016264_136016430_136049635_136050581_136051731
NNC_84136	NNC_chr7_-_128955386_128957223_128957316_128967279_128967393_128970147_128970316_128972425_128972583_128974867_128974963_128975818_128975936_128978982_128979124_128979970_128980032_128982247_128982325_128984167_128984260_128986728_128986921_128989960_128990101_128991998_128992091_128993806_128993915_128997388_128997536_129000428_129000568_129001058_129001235_129005015_129005160_129014978_129015136_129016982_129017057_129017956_129018158_129019870_129019996_129054650
